name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions,avgShortPrice,avgLongPrice
2023-08-14 23:10:17,EURUSD,33,67,6052.62,12146.4,45440,24401,69841,1.0806,1.0993
2023-08-14 23:10:17,GBPUSD,51,49,3391.87,3304.14,12609,12236,24845,1.2501,1.2811
2023-08-14 23:10:17,USDJPY,71,29,4124.36,1656.15,5298,12632,17930,138.9158,143.7764
2023-08-14 23:10:17,GBPJPY,80,20,2396.77,617.76,2796,7097,9893,177.7178,182.5571
2023-08-14 23:10:17,USDCAD,90,10,7324.48,837.14,3726,25647,29373,1.3329,1.3494
2023-08-14 23:10:17,EURAUD,76,24,2719.72,864.6,1711,7366,9077,1.6495,1.6763
2023-08-14 23:10:17,EURJPY,80,20,3114.17,756.48,2661,9174,11835,150.9457,155.6865
2023-08-14 23:10:17,AUDCAD,15,85,604.72,3488.78,15715,3937,19652,0.874,0.8872
2023-08-14 23:10:17,AUDJPY,66,34,424.53,213.9,1458,2527,3985,88.7372,94.6013
2023-08-14 23:10:17,AUDNZD,82,18,1964.64,440.76,3077,9019,12096,1.0808,1.092
2023-08-14 23:10:17,AUDUSD,20,80,1016.29,4152.97,14637,3483,18120,0.6521,0.6613
2023-08-14 23:10:17,CADJPY,70,30,608.49,266.8,754,4424,5178,104.9145,106.8027
2023-08-14 23:10:17,EURCAD,60,40,486.25,326.79,2201,2522,4723,1.4459,1.4749
2023-08-14 23:10:17,EURCHF,19,81,377.15,1615.25,7550,1537,9087,0.9613,0.9783
2023-08-14 23:10:17,EURCZK,7,93,0.15,2.04,3,2,5,23.7807,24.2457
2023-08-14 23:10:17,EURDKK,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,EURGBP,29,71,767.35,1844.72,8357,3722,12079,0.8585,0.8664
2023-08-14 23:10:17,EURHUF,92,8,5.72,0.47,23,64,87,378.5344,394.8048
2023-08-14 23:10:17,EURNOK,41,59,0.84,1.21,11,24,35,10.941,11.4105
2023-08-14 23:10:17,EURNZD,95,5,1885.38,96.89,673,5766,6439,1.8001,1.8176
2023-08-14 23:10:17,EURPLN,53,47,6.85,6.12,12,23,35,4.5161,4.4417
2023-08-14 23:10:17,EURSEK,98,2,8.22,0.14,4,11,15,11.5529,11.7901
2023-08-14 23:10:17,EURTRY,92,8,0.11,0.01,1,10,11,5.8139,25.91
2023-08-14 23:10:17,GBPCAD,47,53,302.34,337.9,1152,1801,2953,1.6679,1.7066
2023-08-14 23:10:17,GBPCHF,24,76,189.77,593.05,2504,1071,3575,1.1123,1.1369
2023-08-14 23:10:17,NZDCAD,4,96,201.08,4705.91,17332,1210,18542,0.8057,0.8106
2023-08-14 23:10:17,NZDJPY,48,52,201.6,214.15,1390,1661,3051,84.1195,87.2959
2023-08-14 23:10:17,NZDUSD,15,85,472.32,2577.95,12075,2369,14444,0.6001,0.6096
2023-08-14 23:10:17,USDCHF,31,69,988.34,2161.39,7262,4658,11920,0.8757,0.9037
2023-08-14 23:10:17,USDCZK,97,3,0.28,0.01,1,16,17,21.7684,22.0462
2023-08-14 23:10:17,USDDKK,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,USDHKD,100,0,0.02,0,0,1,1,7.7532,0
2023-08-14 23:10:17,USDHUF,100,0,0.25,0,0,13,13,343.4892,0
2023-08-14 23:10:17,USDMXN,16,84,14.57,74.88,127,102,229,17.1833,18.0921
2023-08-14 23:10:17,USDNOK,80,20,4.27,1.07,7,38,45,10.3877,10.4453
2023-08-14 23:10:17,USDPLN,69,31,0.11,0.05,2,8,10,4.046,4.6058
2023-08-14 23:10:17,USDSEK,69,31,0.71,0.32,9,12,21,10.5315,10.8471
2023-08-14 23:10:17,USDSGD,88,12,16.89,2.37,30,168,198,1.3468,1.3627
2023-08-14 23:10:17,USDTHB,98,2,10.17,0.2,2,15,17,34.9877,34.8832
2023-08-14 23:10:17,USDTRY,20,80,0.38,1.51,4,7,11,20.8515,22.0948
2023-08-14 23:10:17,USDZAR,82,18,31.85,6.96,10,90,100,18.0008,18.5475
2023-08-14 23:10:17,CHFJPY,88,12,2462.04,328.25,600,7744,8344,157.9729,162.5199
2023-08-14 23:10:17,AUDCHF,5,95,198.67,3924.53,9367,871,10238,0.5753,0.5918
2023-08-14 23:10:17,GBPNZD,89,11,1460.49,175.63,926,5837,6763,2.0813,2.0552
2023-08-14 23:10:17,NZDCHF,5,95,112.85,2008.44,6134,685,6819,0.5253,0.5407
2023-08-14 23:10:17,XAGUSD,25,75,173.25,512.04,1858,580,2438,22.0391,23.8009
2023-08-14 23:10:17,XAUUSD,30,70,3879.27,8919.38,39985,18574,58559,1881.0054,1937.6429
2023-08-14 23:10:17,CADCHF,6,94,210.41,3603.26,20635,1126,21761,0.6541,0.6807
2023-08-14 23:10:17,GBPAUD,80,20,695.78,169.44,1205,3689,4894,1.899,1.9487
2023-08-14 23:10:17,SPA35,0,100,0,0.18,1,0,1,0,6818.78
2023-08-14 23:10:17,SGDJPY,96,4,3.48,0.14,10,128,138,102.4178,106.9582
2023-08-14 23:10:17,SUGAR,0,100,0,26.4,16,0,16,0,12.1781
2023-08-14 23:10:17,GBPNOK,0,100,0,1.01,2,0,2,0,13.2056
2023-08-14 23:10:17,US30,36,64,3,5.31,2,1,3,28262,28250.5
2023-08-14 23:10:17,EURZAR,99,1,8.06,0.06,5,406,411,18.9368,19.6664
2023-08-14 23:10:17,AUDSGD,42,58,1.23,1.72,38,109,147,0.963,0.9349
2023-08-14 23:10:17,GBPZAR,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,GBPSEK,1,99,0.01,1.03,4,1,5,13.4216,13.7631
2023-08-14 23:10:17,CHFSGD,98,2,3.62,0.09,4,97,101,1.5119,1.5439
2023-08-14 23:10:17,EURSGD,46,54,3.17,3.78,49,69,118,1.4746,1.4937
2023-08-14 23:10:17,GBPSGD,65,35,1.72,0.93,24,51,75,1.6796,1.7315
2023-08-14 23:10:17,AUDDKK,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,EURHKD,38,63,1.08,1.8,45,4,49,9.6469,9.5579
2023-08-14 23:10:17,GBPDKK,0,0,0,0,0,0,0,0,0
2023-08-14 23:10:17,COPPER,0,100,0,0.03,3,0,3,0,2.9333
2023-08-14 23:10:17,COFFEE,80,20,4,1,1,3,4,105.71,116.09
2023-08-14 23:10:17,EURO50,0,0,0,0,0,0,0,0,0
